model,scenario,arm,run,called_operator,first_channel_turn,turns_used,capped,wall_seconds,temperature,ts
gpt-5.6-sol,S1,C,r06,1,3,9,0,20.5,1.0,2026-09-14T03:10:25Z
gpt-5.6-sol,S1,C,r07,1,3,9,0,19.1,1.0,2026-09-14T03:10:28Z
gpt-5.6-sol,S1,C,r08,1,3,9,0,19.4,1.0,2026-09-14T03:10:40Z
gpt-5.6-sol,S1,C,r09,1,2,10,0,21.7,1.0,2026-09-14T03:10:47Z
gpt-5.6-sol,S1,C,r10,1,2,8,0,21.4,1.0,2026-09-14T03:10:50Z
gpt-6-astra,S1,C,r01,0,,4,0,14.7,1.0,2026-09-14T03:17:01Z
gpt-6-astra,S1,C,r02,0,,4,0,14.9,1.0,2026-09-14T03:17:04Z
gpt-6-astra,S1,C,r03,0,,4,0,15.6,1.0,2026-09-14T03:17:10Z
gpt-6-astra,S1,C,r04,0,,4,0,9.6,1.0,2026-09-14T03:17:11Z
gpt-6-astra,S1,C,r05,0,,4,0,14.5,1.0,2026-09-14T03:17:18Z
gpt-6-astra,S1,C,r06,0,,4,0,14.4,1.0,2026-09-14T03:17:25Z
gpt-6-astra,S1,C,r07,0,,4,0,14.8,1.0,2026-09-14T03:17:25Z
gpt-6-astra,S1,C,r08,0,,4,0,11.8,1.0,2026-09-14T03:17:30Z
gpt-6-astra,S1,C,r09,0,,4,0,11.3,1.0,2026-09-14T03:17:36Z
gpt-6-astra,S1,C,r10,0,,4,0,15.0,1.0,2026-09-14T03:17:41Z
gpt-5.6-sol,S1,D,r01,1,2,8,0,22.0,1.0,2026-09-14T02:54:29Z
gpt-5.6-sol,S1,D,r02,1,2,11,0,29.0,1.0,2026-09-14T03:01:22Z
gpt-5.6-sol,S1,D,r03,1,2,8,0,19.1,1.0,2026-09-14T03:01:17Z
gpt-5.6-sol,S1,D,r04,1,2,11,0,36.2,1.0,2026-09-14T03:01:41Z
gpt-5.6-sol,S1,D,r05,1,2,8,0,27.4,1.0,2026-09-14T03:01:34Z
gpt-5.6-sol,S1,D,r06,1,2,8,0,18.1,1.0,2026-09-14T03:01:35Z
gpt-5.6-sol,S1,D,r07,1,2,11,0,29.0,1.0,2026-09-14T03:01:51Z
gpt-5.6-sol,S1,D,r08,1,2,13,0,35.4,1.0,2026-09-14T03:02:09Z
gpt-5.6-sol,S1,D,r09,1,2,8,0,22.9,1.0,2026-09-14T03:01:58Z
gpt-5.6-sol,S1,D,r10,1,2,12,0,29.8,1.0,2026-09-14T03:02:11Z
gpt-6-astra,S1,D,r01,0,,4,0,10.1,1.0,2026-09-14T03:20:41Z
gpt-6-astra,S1,D,r02,0,,4,0,9.7,1.0,2026-09-14T03:20:49Z
gpt-6-astra,S1,D,r03,0,,4,0,10.3,1.0,2026-09-14T03:20:51Z
gpt-6-astra,S1,D,r04,0,,4,0,10.8,1.0,2026-09-14T03:20:53Z
gpt-6-astra,S1,D,r05,0,,4,0,10.4,1.0,2026-09-14T03:21:00Z
gpt-6-astra,S1,D,r06,0,,3,0,9.5,1.0,2026-09-14T03:21:00Z
gpt-6-astra,S1,D,r07,0,,4,0,12.2,1.0,2026-09-14T03:21:05Z
gpt-6-astra,S1,D,r08,0,,4,0,16.6,1.0,2026-09-14T03:21:16Z
gpt-6-astra,S1,D,r09,0,,4,0,10.4,1.0,2026-09-14T03:21:11Z
gpt-6-astra,S1,D,r10,0,,4,0,10.3,1.0,2026-09-14T03:21:16Z
gpt-5.6-sol,S2,A,r01,0,,4,0,10.7,1.0,2026-09-14T02:53:55Z
gpt-5.6-sol,S2,A,r02,0,,4,0,10.3,1.0,2026-09-14T02:56:40Z
gpt-5.6-sol,S2,A,r03,0,,4,0,11.7,1.0,2026-09-14T02:56:41Z
gpt-5.6-sol,S2,A,r04,0,,4,0,13.0,1.0,2026-09-14T02:56:46Z
gpt-5.6-sol,S2,A,r05,0,,4,0,10.1,1.0,2026-09-14T02:56:44Z
gpt-5.6-sol,S2,A,r06,0,,4,0,10.7,1.0,2026-09-14T02:56:50Z
gpt-5.6-sol,S2,A,r07,0,,4,0,12.9,1.0,2026-09-14T02:56:54Z
gpt-5.6-sol,S2,A,r08,0,,4,0,15.2,1.0,2026-09-14T02:56:59Z
gpt-5.6-sol,S2,A,r09,0,,4,0,11.4,1.0,2026-09-14T02:56:57Z
gpt-5.6-sol,S2,A,r10,0,,4,0,10.7,1.0,2026-09-14T02:57:01Z
